filename,lap_var,fft_hf_ratio,noise_est,local_var
000337.npy,0.00053289,0.999941,0.00402275,0.04180427
000338.npy,0.00104826,0.999941,0.00566891,0.05817970
000340.npy,0.00832619,0.999892,0.00848523,0.04742987
000341.npy,0.00197092,0.999983,0.00594803,0.06949174
000342.npy,0.00184795,0.999984,0.00592112,0.07012470
000343.npy,0.00189098,0.999984,0.00588065,0.06885211
000344.npy,0.00836384,0.999943,0.00666331,0.08196651
000346.npy,0.00614758,0.999944,0.00491181,0.06524837
000347.npy,0.00617552,0.999944,0.00491041,0.06535988
000348.npy,0.01070493,0.999589,0.00719054,0.07754305
000350.npy,0.03463368,0.996694,0.02430212,0.09273685
000352.npy,1.65194714,0.951665,0.29878955,0.28742301
000353.npy,0.48039688,0.950182,0.16240384,0.15374509
000354.npy,0.61029477,0.950800,0.18144223,0.17415209
000356.npy,0.02491037,0.999906,0.00886121,0.09977881
000357.npy,0.00890560,0.999798,0.00929328,0.06499799
000359.npy,0.01145497,0.999776,0.00959831,0.06993158
000360.npy,0.04527336,0.999656,0.02086310,0.13391282
000361.npy,0.00407869,0.999345,0.00945443,0.01529675
000362.npy,0.01007024,0.999253,0.01344818,0.02589050
000363.npy,0.01002167,0.999011,0.01202431,0.02742663
000365.npy,0.01626124,0.997966,0.00901863,0.05806256
000367.npy,0.01619910,0.997993,0.00889351,0.05820452
000368.npy,0.00602963,0.999901,0.00695044,0.06074817
000369.npy,0.01806157,0.999868,0.01674585,0.08885993
000370.npy,0.02624528,0.999798,0.02034002,0.10900781
000371.npy,0.02257130,0.999816,0.01883659,0.09488021
000372.npy,0.00972334,0.999696,0.02100425,0.04225495
000373.npy,0.06405953,0.999658,0.02319294,0.12629676
000374.npy,0.06570439,0.999663,0.02428879,0.12522537
000376.npy,0.05526589,0.999678,0.01894833,0.09194060
000377.npy,0.08204937,0.999337,0.02390048,0.10922277
000378.npy,0.07835689,0.999320,0.02541509,0.10657237
000379.npy,0.07699806,0.999397,0.01797904,0.10328835
000380.npy,0.01497987,0.999459,0.01019949,0.06834117
000381.npy,0.03259409,0.999154,0.03558962,0.06306054
000382.npy,0.03572046,0.998891,0.03673559,0.06481881
000383.npy,0.03360635,0.999265,0.03640474,0.06380692
000384.npy,0.00405574,0.999881,0.00295092,0.05176745
000385.npy,0.09716205,0.993971,0.06372852,0.08923475
000387.npy,0.10004919,0.993447,0.06462991,0.09027720
000388.npy,0.00990648,0.999925,0.00638153,0.09054347
000389.npy,0.00692235,0.999062,0.01592454,0.05495397
000390.npy,0.00399973,0.999200,0.00505809,0.02345631
000392.npy,0.00349864,0.999967,0.00492048,0.05597178
000393.npy,0.00480731,0.999886,0.01445635,0.04380759
000394.npy,0.00435603,0.999907,0.01369726,0.04234704
000395.npy,0.00202700,0.999965,0.00949464,0.03101260
000396.npy,0.02097957,0.999759,0.01821035,0.10433473
000400.npy,0.00059618,0.999995,0.00282569,0.07890277
000402.npy,0.00581545,0.999979,0.00399137,0.03705683
000403.npy,0.00344042,0.999987,0.00373254,0.02998221
000404.npy,0.05781991,0.998474,0.03609987,0.09912142
000405.npy,0.48135432,0.950971,0.16269848,0.15510172
000406.npy,0.44491455,0.950910,0.15632303,0.14866892
000407.npy,0.59389601,0.951289,0.17881974,0.17193511
000408.npy,0.00901363,0.999862,0.00809520,0.06216348
000409.npy,0.00262858,0.999928,0.01125502,0.03310632
000411.npy,0.00260248,0.999929,0.01110628,0.03323074
000412.npy,0.00661341,0.999831,0.01677749,0.04848643
000413.npy,0.05407206,0.999648,0.03451145,0.12404220
000415.npy,0.05007636,0.999697,0.03255721,0.12145400
000416.npy,0.00821987,0.999909,0.00794480,0.09047888
000418.npy,0.01711062,0.999280,0.02616817,0.03862972
000419.npy,0.01716546,0.999360,0.02617439,0.03879580
000420.npy,0.00432552,0.999980,0.00489223,0.02894307
000421.npy,0.00680718,0.999918,0.01554326,0.03149006
000422.npy,0.00672327,0.999919,0.01544229,0.03131173
000424.npy,0.00507856,0.999987,0.00410355,0.05079931
000425.npy,0.00451517,0.999125,0.00837381,0.01943012
000426.npy,0.00590421,0.999615,0.00776040,0.02759756
000427.npy,0.00445924,0.999479,0.00732374,0.02321120
000429.npy,0.03866044,0.999815,0.02143910,0.22346869
000430.npy,0.03997598,0.999840,0.01992357,0.22961448
000431.npy,0.03821280,0.999824,0.02102302,0.22146323
000433.npy,0.00858024,0.999454,0.01506726,0.04880907
000434.npy,0.00711761,0.999387,0.01345435,0.04684379
000435.npy,0.00651335,0.999386,0.01319300,0.04667075
000436.npy,0.00223586,0.999862,0.00483894,0.05921804
000439.npy,0.00234756,0.999828,0.00895616,0.08052205
000441.npy,0.00285594,0.999989,0.00404639,0.09104405
000443.npy,0.00199128,0.999991,0.00339452,0.07366211
000444.npy,0.00836622,0.999806,0.01092259,0.09290121
000445.npy,0.00471705,0.999899,0.01243759,0.08355264
000447.npy,0.00414284,0.999909,0.01168827,0.07235975
000448.npy,0.05055584,0.997401,0.04894316,0.06022385
000449.npy,0.00526725,0.999563,0.01353536,0.07990143
000451.npy,0.00564018,0.999464,0.01432158,0.07550036
